SN,SO,QTY,VALUE
1,SOC200041141,30,2400
2,SOC200039888,30,2550
3,SOC200040502,31,2480
4,SOC200040662,30,2400
5,SOC200039460,31,2480
6,SOC200039153,30,2400
7,SOC200039151,31,2480
8,SOC200039622,31,2635
9,SOC200038547,28,2380
10,SOC200038500,30,2550
11,SOC200038523,29,2465
12,SOC200039156,30.5,2592.5
13,SOC200038792,31,2635
14,SOC200039383,30,2550
15,SOC200038221,31,2480
16,SOC200038222,31,2480
17,SOC200038293,29,2465
18,SOC200038070,32,2720
19,SOC200038138,31,2635
20,SOC200037700,30,2400
21,SOC200037800,28,2380
22,SOC200037798,28,2380
23,SOC200037801,28,2380
24,SOC200037716,28,2240
25,SOC200036682,30,2550
26,SOC200037478,30,2400
27,SOC200037351,29,2465
28,SOC200037546,32,2720
29,SOC200035290,31,2480
30,SOC200036912,31,2480
31,SOC200037086,32,2720
32,SOC200036191,34,2720
33,SOC200037711,30,2400
34,SOC200036190,34,2720
35,SOC200036192,34,2720
36,SOC200036193,34,2720
37,SOC200035539,33,2640
38,SOC200036383,28,2380
39,SOC200036829,31,2480
40,SOC200035839,31,2480
41,SOC200034468,30,2400
42,SOC200036527,31,5115
43,SOC200034569,31,2480
44,SOC200036209,28,2380
45,SOC200034492,30,2550
46,SOC200035558,34,2890
47,SOC200035417,31,2480
48,SOC200035744,30,2550
49,SOC200035291,31,2480
50,SOC200034786,32,2560
51,SOC200035409,32,2560
52,SOC200033683,30,2400
53,SOC200035003,31,2480
54,SOC200034291,31,2480
55,SOC200034299,32,2720
56,SOC200034442,31,2480
57,SOC200034277,35,2975
58,SOC200034059,31,2635
59,SOC200035356,28,2380
60,SOC200033931,32,2560
61,SOC200032886,32,2560
62,SOC200033065,28,2380
63,SOC200033234,28,2380
64,SOC200032997,32.2,2737
65,SOC200033466,31,2480
66,SOC200033476,29,2320
67,SOC200031364,31,2635
68,SOC200033069,28,2380
69,SOC200033215,28,2240
70,SOC200033060,28,2240
71,SOC200032830,31,2480
72,SOC200033086,30,2400
73,SOC200033005,31.5,2677.5
74,SOC200032666,30,2550
75,SOC200032483,31,2480
76,SOC200031174,28,2240
77,SOC200030817,32,2720
78,SOC200030869,31,2480
79,SOC200030663,31,2480
80,SOC200029297,30,5400
81,SOC200030340,28,2380
82,SOC200030346,31,2635
83,SOC200029926,31,2635
84,SOC200028568,31,2480
85,SOC200027178,31,2635
86,SOC200027174,32,2720
87,SOC200025635,31.5,2677.5
88,SO2967852001,31,2635
89,SO2902951912,30,2550
90,SOC200023915,32,2720
91,SOC200012088,30,2550
92,SOC200007334,31,2480
93,SOC200001840,30,2550
